content,translated_content
tolong baik setting kamera kamera langsung mode ultrawide baca huruf unggah pakai kamera,please set the camera to ultrawide mode directly read letters upload using the camera
jelas guna,clear use
aplikasi tingkat tolong baik susah indonesia tolong sulit mohon ambil foto stnk galeri handphone potret langsung tolong baik,level application please good difficult indonesia please difficult please take photo of vehicle registration certificate gallery cellphone direct portrait please good
aplikasi hapus kendara ganti kaleng tambah ganti nomor plat kendara daftar nomor polisi tolak terang nomor polisi stnk sesuai nomor polisi kendara sesuai masuk sesuai tolong arah admin,delete vehicle application change can add change vehicle plate number list police number reject clear police number vehicle registration certificate according to police number vehicle according to enter according to please give directions admin
saran depan sedia import gambar galeri stnk ktp kali gagal maklum handphone pada kamera,front suggestion ready to import gallery image STNK KTP this time failed because cellphone on camera
barcode,barcode
qr kode muncul hasil verifikasi,qr code appears verification results
good,good
tolong tim baik sistem isi bahan bakar minyak subsidi kuota tinggal kemarin isi bahan bakar minyak transaksi pemberitahuan riwayat bayar aplikasi contoh bayar tunai pantau penyalahgunaan barcode,please good team fuel oil filling system subsidized quota left yesterday fuel oil filling transaction notification payment history application example cash payment monitor barcode misuse
sulit barcode mohon mudah rakyat indonesia,difficult barcode please make it easy Indonesian people
aplikasi capai lelah isi data sistem masalah tolong pertamina,application tired of filling in system data problem please help Pertamina
ukur foto biar susah,measure photo so it's hard
kesal kali foto stnk foto kamera foto anggap buram,annoyed when the vehicle registration photo camera photo is considered blurry
mantap,Excellent
mudah sulit unggah foto ulang ulang,easy hard to upload photos again and again
unggah stnk susah mati,uploading STNK is hard to die
,#VALUE!
kualitas kamera aplikasi buruk baca tuh stnk kamera buruk,camera quality app bad read that stnk camera bad
daftar gagal foto stnk seta ganti foto stnk ganti nomor polisi sesuai coba,"list of failed STNK photos and change STNK photos, change police numbers according to the trial"
woyy tolong sok pakai atur barcode urus aplikasi selesai proses reset minggu ganggu kamera bikin buruk buram baik please konsumen tolong buat barcode bikin sulit kamera buruk handphone mahal sekligus lelah,"Hey, please pretend to use the barcode setting to manage the application, complete the reset process, it's annoying, the camera makes it bad, it's blurry, good, please consumers, please make the barcode make it difficult, the camera is bad, the cellphone is expensive and tiring at the same time"
djmt daftar salah habis anggar,djmt wrong list out of fencing
habis update unggah foto stnk susah foto stnk tolak foto sih subsidi daftar susah gin,"After the update, uploading the STNK photo is difficult, the STNK photo was rejected, the registration subsidy is difficult, right?"
oke mohon metode bayar,ok please payment method
mantap,Excellent
